UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
ID#,Possible Loc,PAWS ID#,Color,Size/Age,Sex,Neutered,Tame,Sick,Injured,Adoptable,Date of Kapon,Date of Vaccination,,,,,,,,,,last_edited_at,edited_by
1,AGS or AJHS or ASHS,59,Calico,Adult,Female,YES,Tame,NO,NO,NO,7/17/25,7/17/25,,,,,,,,,,,
2,,61,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
3,,70,White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
4,Gate 1 or AGS or AJHS or ASHS or UD,71,Tortie,Adult,Female,YES,Tame,NO,NO,NO,7/22/25,7/22/25,,,,,,,,,,,
5,,72,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
6,,74,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
7,,75,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
8,,76,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
9,,77,Orange and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
10,,78,Gray and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
11,,80,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
12,,83,Gray and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
13,,84,Gray and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
14,,85,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
15,,86,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
16,,87,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
17,,88,Orange and White Tabby,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
18,,89,Black and White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
19,,91,Black,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
20,,92,Black and White,Adult,Male,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
21,AGS or LST,93,Black and White,Adult,Female,YES,Tame,NO,NO,NO,7/25/25,7/25/25,,,,,,,,,,,
22,,94,Gray Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
23,,96,Calico,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
24,,97,Calico,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
25,,98,White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
26,,99,Torbie,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
27,,100,Black and White,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
28,,101,Orange and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
29,,102,Gray and White Tabby,Adult,Female,YES,Tame,NO,NO,NO,,,,,,,,,,,,,
30,,103,White,Adult,Female,YES,???,NO,NO,NO,,,,,,,,,,,,,
