SAMPLE,,,,,,,,,,,,,,,,,,,,,
ID#,Photo,Nickname,Color,Size/Age,Sex,Neutered,Tame,Sick,Injured,Adoptable,Status,Caretaker,Date Last Seen,Place Last Seen,Date of Kapon,Date of Vaccination,Notes,,For Rescues (TNVR),For Rescues (Vet),For FA
1,,Garfield,Orange Tabby,Kitten,Male,NO,Domesticated,NO,NO,YES,None of the above,N/A,1/23/2024,ABC 1F,N/A,N/A,"Tail Length: Short
Eye Color: Orange
Other: No mom cat

",,Will not have intervention,Will not have intervention,Healthy & Adoptable
,,,,,,,,,,,,,,,,,,,,,
3,,Official Name,Black,Neonatal,Male,YES,Domesticated,YES,YES,YES,Fostered,,,,,,,,Will not have intervention,Will not have intervention,Healthy & Adoptable
,,Unofficial Name,White,Kitten,Female,NO,Tame,NO,NO,NO,Adopted,,,,,,,,Will have TNVR intervention ,Will have Vet intervention,Sick & Adoptable
,,N/A,Black and White,Juvenile,???,???,Feral,???,???,???,MIA,,,,,,,,Had TNVR intervention,Had Vet intervention,Injured & Adoptable
,,,Calico,Adult,,,???,,,,Deceased,,,,,,,,Not Applicable,Not Applicable,Not Ready for FA
,,,Tortie,,,,,,,,None of the above,,,,,,,,,,Not Applicable
,,,Torbie,,,,,,,,,,,,,,,,,,
,,,Orange Tabby,,,,,,,,,,,,,,,,,,
,,,Orange and White Tabby,,,,,,,,,,,,,,,,,,
,,,Gray Tabby,,,,,,,,,,,,,,,,,,
,,,Gray and White Tabby,,,,,,,,,,,,,,,,,,
,,,Brown Tabby,,,,,,,,,,,,,,,,,,
,,,Brown and White Tabby,,,,,,,,,,,,,,,,,,
